iter	Passed	Remaining
0	145	144878
1	146	73082
2	147	49073
3	148	37094
4	150	29882
5	151	25118
6	152	21667
7	153	19082
8	155	17072
9	156	15453
10	157	14136
11	158	13038
12	159	12103
13	160	11311
14	161	10625
15	162	10023
16	164	9501
17	165	9054
18	167	8633
19	168	8261
20	170	7933
21	171	7614
22	172	7322
23	173	7053
24	174	6815
25	175	6589
26	177	6382
27	178	6197
28	179	6025
29	181	5856
30	182	5710
31	184	5591
32	186	5457
33	187	5331
34	189	5212
35	190	5109
36	192	5007
37	193	4907
38	195	4816
39	197	4729
40	198	4646
41	200	4564
42	201	4484
43	202	4408
44	204	4330
45	205	4266
46	207	4198
47	208	4143
48	210	4078
49	211	4016
50	212	3957
51	213	3898
52	215	3844
53	216	3794
54	217	3744
55	219	3698
56	221	3658
57	222	3613
58	223	3568
59	225	3525
60	226	3483
61	227	3444
62	229	3407
63	230	3371
64	231	3332
65	233	3303
66	235	3274
67	236	3245
68	238	3214
69	239	3186
70	241	3156
71	242	3127
72	243	3094
73	245	3066
74	246	3040
75	247	3014
76	250	2998
77	251	2973
78	252	2948
79	254	2923
80	255	2898
81	256	2873
82	257	2844
83	258	2822
84	260	2800
85	261	2782
86	263	2768
87	265	2748
88	266	2729
89	267	2707
90	269	2694
91	271	2675
92	272	2659
93	274	2643
94	275	2626
95	277	2612
96	279	2597
97	280	2583
98	282	2566
99	283	2552
100	285	2542
101	286	2525
102	288	2513
103	289	2498
104	291	2481
105	292	2468
106	294	2457
107	296	2445
108	297	2431
109	298	2418
110	300	2404
111	301	2390
112	302	2375
113	304	2363
114	305	2349
115	306	2337
116	308	2325
117	309	2315
118	311	2304
119	312	2295
120	314	2286
121	329	2371
122	330	2359
123	332	2348
124	333	2335
125	334	2323
126	336	2309
127	337	2298
128	339	2289
129	340	2279
130	341	2268
131	343	2262
132	345	2252
133	347	2242
134	348	2232
135	349	2222
136	351	2215
137	353	2205
138	354	2195
139	355	2185
140	357	2177
141	358	2164
142	359	2155
143	361	2148
144	362	2140
145	364	2132
146	366	2125
147	368	2118
148	369	2111
149	371	2104
150	372	2096
151	374	2088
152	375	2080
153	377	2072
154	378	2062
155	379	2053
